P,N,E,Z,D (km post
1,623771.1349,805272.5503,0,3.3
2,676443.2676,777830.5959,0,65.7
3,708950.9287,769107.0458,0,106.8
4,725991.2972,741997.4471,0,140.2
5,729949.3886,723473.0103,0,161
6,730207.0633,721385.6009,0,163.1
7,730932.942,718977.9271,0,165.6
8,730210.7212,715916.7186,0,168.9
9,730619.3599,716479.0429,0,168.2
10,730120.4944,715704.5637,0,169.1
11,730087.1674,715620.8397,0,169.2
12,729465.334,713932.5417,0,171
13,729170.2679,713131.0676,0,171.9
14,728993.8786,712778.2889,0,172.3
15,728285.4762,711719.9529,0,173.6
16,728449.6728,709267.5721,0,176
17,728521.2039,708881.4664,0,176.4
18,728635.0035,708555.5119,0,176.7
19,729150.5562,708080.1954,0,177.4
20,729226.1516,707951.5613,0,177.6
21,729608.5995,706436.8077,0,179.2
22,730463.722,705390.258,0,180.5
23,731479.7896,704297.1725,0,182
24,731536.4862,704222.9995,0,182.1
25,731791.1128,701344.4799,0,185.3
26,731797.2092,701243.686,0,185.4
27,731842.729,700446.8858,0,186.2
28,732132.9179,699572.6612,0,187.1
29,732170.3092,699484.4666,0,187.2
30,732672.653,698291.1967,0,188.5
31,732615.7532,697810.8,0,189
32,732405.4272,696717.5112,0,190.1
33,732382.4641,696619.1559,0,190.2
34,732359.9074,696521.6134,0,190.3
35,731664.9172,695240.1489,0,191.8
36,731118.6792,694206.4017,0,193
37,731165.0119,693909.4051,0,193.3
38,731383.3648,692527.858,0,194.7
39,731399.6219,692428.2833,0,194.8
40,731332.5614,691272.8112,0,196
41,731308.9887,691176.8945,0,196.1
42,731297.2023,691069.8009,0,196.2
43,731307.363,690966.3652,0,196.3
44,731328.9036,690860.6942,0,196.4
45,731373.6106,690664.39,0,196.6
46,731443.7192,690370.9496,0,196.9
47,731564.2249,690098.0339,0,197.2
48,731624.3761,690010.652,0,197.3
49,731791.824,689761.1058,0,197.6
50,732178.1329,689179.9152,0,198.3
51,732233.6102,689092.3301,0,198.4
52,732341.7198,688937.075,0,198.6
53,732393.7425,688849.2867,0,198.7
54,732443.3266,688769.627,0,198.8
55,732562.8161,688414.4098,0,199.2
56,732822.1166,687343.0681,0,200.3
57,732871.7007,687143.9189,0,200.5
58,732965.1789,686762.6903,0,200.9
59,733639.8478,684117.2566,0,203.6
60,733852.8156,683898.5989,0,203.9
61,735425.6882,682655.3385,0,205.9
62,735579.3177,682532.5976,0,206.1
63,736210.4989,682032.6923,0,206.9
64,736346.5109,681901.1369,0,207.1
65,736846.5931,681152.8604,0,208
66,737791.1927,679739.449,0,209.7
67,738979.4864,678007.8452,0,211.8
68,739367.421,677553.2566,0,212.4
69,739500.1194,677399.6271,0,212.6
70,739436.412,677476.3402,0,212.5
71,739697.643,677174.6698,0,212.9
72,742091.9047,674001.2874,0,216.9
73,742038.6628,674080.5406,0,216.8
74,742359.7401,673581.8547,0,217.4
75,743017.3391,672566.5999,0,218.6
76,743502.613,671809.0199,0,219.5
77,743535.94,669816.308,0,221.6
78,743515.6187,669715.1077,0,221.7
79,743057.1077,667463.8195,0,224
80,743036.2393,667366.0212,0,224.1
81,742785.8189,666192.4414,0,225.3
82,742404.2439,664330.1525,0,227.2
83,742206.3139,663357.5726,0,228.2
84,741721.4465,662682.4973,0,229
85,740953.7058,661897.077,0,230.1
86,740745.4623,661682.6151,0,230.4
87,740552.1134,661453.2329,0,230.7
88,740343.3539,661233.0768,0,231
89,740283.8124,661152.6042,0,231.1
90,740088.5242,660701.267,0,231.6
91,739873.9307,659930.2749,0,232.4
92,739741.2323,659452.5199,0,232.9
93,739680.6746,659251.5417,0,233.1
94,739454.5273,658385.1529,0,234
95,739373.2126,658104.1982,0,234.3
96,739353.7041,657794.9072,0,234.6
97,739406.3135,657093.4002,0,235.3
98,739478.5253,656096.0108,0,236.3
99,739492.9676,655896.533,0,236.5
100,739518.9625,655597.6751,0,236.8
101,739632.4889,654302.6514,0,238.1
102,739661.2677,654005.2798,0,238.4
103,739629.2886,653403.2024,0,239
104,739483.1685,658528.2156,0,234.3
105,739408.5717,658245.6348,0,234.6
106,739373.1589,657536.5919,0,235.3
107,739452.0894,656539.767,0,236.3
108,739468.0383,656340.4039,0,236.5
109,739489.2475,656041.0729,0,236.8
110,739590.8543,654745.485,0,238.1
111,739619.5627,654446.3352,0,238.4
112,739666.5118,653850.3386,0,239
113,739627.1074,653351.8938,0,239.5
114,739717.9643,652815.6678,0,240.1
115,740145.932,652559.6188,0,240.6
116,740228.8431,652523.0403,0,240.7
117,740640.5537,651966.2353,0,241.4
118,740786.0546,651771.9631,0,241.7
119,740797.4346,651537.8612,0,242
120,740538.5405,651199.3074,0,242.5
121,740332.6852,650999.1421,0,242.8
122,740348.2768,650730.5727,0,243.1
123,740522.6064,650407.1606,0,243.5
124,740871.8174,641777.3722,0,252.4
125,740979.3467,641610.2172,0,252.6
126,742489.9898,641110.484,0,254.2
127,742397.0338,641147.3512,0,254.1
128,742675.9017,641036.7496,0,254.4
129,742768.8576,640999.8824,0,254.5
130,743047.7255,640889.2808,0,254.8
131,744543.7995,640332.9871,0,256.4
132,745276.9562,639846.2484,0,257.3
133,745635.9313,639498.2036,0,257.8
134,745564.2849,639567.9661,0,257.7
135,745758.1434,639340.8298,0,258
136,745870.0506,639064.7166,0,258.3
137,746274.1406,637619.6653,0,259.8
138,746441.0374,637043.2973,0,260.4
139,746492.0874,636934.6976,0,260.5
140,746738.8291,636409.799,0,261.1
141,747389.0517,635180.3182,0,262.5
142,748136.0075,634372.8407,0,263.6
143,748408.267,634079.7968,0,264
144,748544.3967,633933.2748,0,264.2
145,748748.5913,633713.4918,0,264.5
146,749224.9716,633200.5964,0,265.2
147,750176.9518,632174.081,0,266.6
148,750516.9447,631807.4684,0,267.1
149,750976.5016,631157.9832,0,267.9
150,751443.1815,630053.3653,0,269.1
151,751602.0944,629686.6665,0,269.5
152,751820.009,629237.4566,0,270
153,752716.111,628296.2796,0,271.3
154,753155.6082,627752.1288,0,272
155,753393.9297,627429.3707,0,272.4
156,753807.4184,626866.1644,0,273.1
157,757605.5847,625158.9677,0,277.5
158,763300.381,623618.9681,0,283.7
159,765645.0907,621640.3078,0,286.9
160,766226.3986,621142.9226,0,287.7
161,767963.8835,620105.4886,0,289.9
162,768205.7522,619786.8987,0,290.3
163,773750.2787,615640.5248,0,297.5
164,775692.5788,612073.6166,0,301.7
165,778116.6535,608028.8926,0,307.3
166,579754.4104,654150.1808,0,20.3
167,658283.6299,633524.4362,0,134.6
168,659178.1146,634532.7945,0,136
169,663855.772,636569.1683,0,141.5
170,665407.5235,636823.5724,0,143.1
171,669826.6105,636449.8532,0,148
172,670644.3736,635915.7298,0,149
173,670720.0589,635850.4743,0,149.1
174,672681.6852,634800.5497,0,151.4
175,674135.5897,636160.3176,0,153.6
176,675554.2415,636780.2839,0,155.2
177,675950.1362,636837.4452,0,155.6
178,677906.0295,638516.8779,0,158.3
179,679034.7904,640398.112,0,160.7
180,679037.8183,640798.0219,0,161.1
181,687547.0897,645248.9974,0,171.8
182,690634.8816,647548.3431,0,175.7
183,690924.4437,647607.5896,0,176
184,702399.9677,651248.267,0,188.8
185,704134.1576,651869.9679,0,190.8
186,704216.3134,651926.7928,0,190.9
187,706224.569,651240.2509,0,193.2
188,707684.6693,650942.6212,0,194.7
189,709552.8613,650724.4221,0,196.6
190,710756.8467,650815.5146,0,197.9
191,711607.1733,650837.5672,0,198.8
192,714596.6842,650713.5058,0,202.1
193,716108.2196,650242.4081,0,203.7
194,716639.9486,649990.9462,0,204.3
195,718989.8183,648879.4839,0,206.9
196,718630.4801,649055.1997,0,206.5
